Companies,URL,Description,Business Model,Industry,Sub-Industry,Expert Collections,Markets,Mosaic (Overall),Commercial Maturity,IPO Probability,M&A Probability,Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Total Headcount,12 Month Headcount Change %,Company Status,Founded Year,Your Collections,Team Tag
EmergeGen,emergegen.ai,"EmergeGen focuses on data standardization, extraction, and monetization, operating in the technology and data sectors. The company offers a platform for artificial intelligence development, providing solutions for data security, data integrity, and data monetization. It was founded in 2023 and is based in Rumson, New Jersey.","B2B, SaaS, Usage-based",Internet Software & Services,Application & Data Integration,Artificial Intelligence,,473,,0.42%,4.18%,United States,0.20,,0.20,Convertible Note,2023-12-08,6,0%,Alive / Active,2023,,
Xuvi,xuvi.com,"Xuvi is a technology company specializing in consumer relationship management (CRM) and data analytics within the resort and retail sectors. The company offers a suite of products including a blockchain-based mobile wallet, an NFT loyalty platform, biometric AI for financial security, and an enterprise-grade private blockchain technology, as well as a business management platform for automobile, salon, and wellness businesses. Xuvi primarily serves the resort and retail industries with advanced data-driven solutions to enhance customer engagement and operational efficiency. It is based in Las Vegas, Nevada.","B2B, SaaS",Internet Software & Services,Customer Relationship Management,,,,,0.63%,34.40%,United States,,,,,,22,10%,Alive / Active,,,
CirrusLabs,cirruslabs.io,"CirrusLabs specializes in digital strategy, agile product management, and technology consulting within various business sectors. The company offers a range of services including digital transformation, cloud computing and security, data analytics, artificial intelligence, and hyper automation. CirrusLabs primarily serves sectors that require advanced technology solutions such as cloud computing industry and supply chain management. It is based in Alpharetta, Georgia.","B2B, Fee-for-service",IT Services,IT Solutions & Software Development,,,541,3: Deploying,0.47%,10.13%,United States,,,,,,272,5.019305%,Alive / Active,,,
OneBanc,onebanc.ai,"OneBanc is a fintech company specializing in digital banking and financial wellness. The company offers a digital banking platform that includes personalized banking experiences, AI-powered financial insights, and robust security measures. OneBanc primarily serves individual customers seeking a tailored banking experience that aligns with their lifestyle. It was founded in 2019 and is based in Gurugram, India.","B2C, Fee-for-service, SaaS",Mobile Software & Services,Accounting & Finance,,,,3: Deploying,0.49%,5.95%,India,,,,,,75,2.739726%,Alive / Active,2019,,
Prohawk,prohawk.ai,"Prohawk specializes in real-time computer vision restoration and video enhancement within the AI and computer vision industry. The company offers solutions that improve video quality by optimizing clarity and mitigating adverse environmental conditions, making it suitable for a variety of applications. Prohawk's technology integrates with existing video systems and supports a wide range of video management and analytic systems, enhancing the performance of security, transportation, and other AI-driven applications. It was founded in 2016 and is based in Orlando, Florida.",B2B,Application & Data Integration Software,,,,387,3: Deploying,0.44%,36.98%,United States,0.19,C&B Capital,0.04,Unattributed VC - II,2020-08-05,17,70%,Alive / Active,2016,,
Velasea,velasea.com,"Velasea is a company that focuses on providing OEM solutions in the physical security and IoT markets. The company offers a range of products and services, including the design and deployment of solutions for computer vision, artificial intelligence, data storage, network switches, security cameras, kiosks, and digital signage. Velasea primarily serves the physical security and IoT industries. It was founded in 2013 and is based in Irvine, California.","B2B, Manufacturer",Internet Software & Services,Monitoring & Security,,,552,4: Scaling,0.48%,8.76%,United States,,,,,,51,18.60465%,Alive / Active,2013,,
Zhcomputing,zhcomputing.com,"Zhcomputing engages in the development of high-performance processors in the technology sector. Its offerings include processors with computational power in various fields such as artificial intelligence, multimedia, communications, and security. These products are primarily used in data centers, 5G communications, industry PCs, and robotics. The company was founded in 2022 and is based in Shenzhen, China.","B2B, Manufacturer",Chips & Semiconductors,Semiconductors: Microprocessors,,,213,1: Emerging,1.46%,1.41%,China,,"Taixin Investment, CDH Investments, Lingang Technology Investment, New Alliance Capital, Walden International, ZJU Joint Innovation Investment, Zhejiang Volfone Enterprises, Zhongyiren Investment, Houxue Capital, LH Ventures, Lepu Capital, Lingang Science and Technology Innovation Investment, Sky9 Capital, Source Code Capital",,Seed VC - II,2024-09-08,,0%,Alive / Active,2022,,
Emet,emet.co.il,"Emet specializes in a comprehensive range of IT services and solutions, including software development, enterprise applications, and cloud computing, within the technology sector. The company offers a suite of services such as digital transformation, on-premises infrastructure management, business continuity, managed services, data integration and analytics, security solutions, AI, high-performance computing, and professional services. Emet caters to a diverse clientele, providing tailored technology solutions to meet the specific needs of businesses ranging from large enterprises to small startups. It was founded in 1984 and is based in Ramat Gan, Israel.",B2B,,,,,464,,,,Israel,,FIMI Opportunity Funds,,,,226,9.178744%,Alive / Active,1984,,
ANS,ans.co.uk,"ANS is a technology company specializing in cloud technology and artificial intelligence, with a focus on providing digital transformation solutions across various sectors. The company offers a range of services including cloud migration, managed cloud, enterprise-grade security, data and AI technologies, and business application modernization. ANS primarily serves sectors such as financial services, manufacturing, professional services, retail, transportation, hospitality, government, and healthcare. It was founded in 1996 and is based in Manchester, England.",,IT Services,Infrastructure & Hosting,,,536,,,,United Kingdom,,Inflexion Private Equity,,,,907,4.976852%,Alive / Active,1996,,
OSS Group,oss-group.co.nz,"OSS Group specializes in technology strategy, project management, and managed IT services across various business sectors. The company offers a range of services, including digital marketing, business analysis, application support, cloud solutions, data optimization, AI-ML implementation, and cyber-security. OSS Group caters to clients in need of comprehensive IT and technology services, from strategy and analysis to implementation and management. It was founded in 2008 and is based in Auckland, New Zealand.",,Internet Software & Services,,,,,4: Scaling,0.41%,9.37%,New Zealand,,,,,,77,4.0540543%,Alive / Active,2008,,
Apption,apption.com,"Apption is a software solutions company that specializes in data analytics and operational application optimization within various business sectors. The company offers services such as cloud migration, cloud security, predictive analytics, artificial intelligence, data quality assessment, and bid management optimization. Apption primarily serves government organizations and private sector clients including retailers, service providers, and financial institutions. It is based in Canada.","B2B, B2G, Fee-for-service, SaaS",IT Services,IT Solutions & Software Development,Artificial Intelligence,,,3: Deploying,0.54%,6.30%,Canada,,,,,,25,13.636364%,Alive / Active,,,
Right People Group,rightpeoplegroup.com,"Right People Group is a consultancy firm that operates in the IT and business sectors. The company provides a range of services including IT support, data management, project management for software development and infrastructure, digital marketing, IT strategy, and various technology-related services such as technical infrastructure, database management, IT security, and artificial intelligence. They primarily cater to businesses in need of IT and business consulting services. It was founded in 2007 and is based in London, England.","B2B, Fee-for-service",IT Services,IT Solutions & Software Development,Artificial Intelligence,,411,,,,United Kingdom,,Capidea,,,,39,-7.142857%,Alive / Active,2007,,
